Product_ID,Product_Name,Category,Brand,Rating,Review_Text,Sentiment,Helpful_Votes
111,RT42M5538S8 Refrigerator,Appliances,Samsung,3.4,Battery drains quickly.,Negative,205
112,Puricare Water Purifier,Appliances,LG,2.6,Build quality could be better.,Negative,5
113,HWM60-1266NZP Washer,Appliances,Haier,4.1,Great quality product!,Positive,55
114,Magicool Inverter AC,Appliances,Whirlpool,3.9,Very comfortable and durable.,Positive,285
115,Puricare Water Purifier,Appliances,LG,3.1,Good value for the price.,Positive,96
116,Magicool Inverter AC,Appliances,Whirlpool,3.1,Feels cheap and uncomfortable.,Negative,342
117,SMS24AW00I Dishwasher,Appliances,Bosch,2.8,Fast delivery and nice packaging.,Positive,313
118,DualCool Inverter AC,Appliances,LG,2.5,Sound quality is bad.,Negative,174
119,WindFree 5-in-1 Convertible AC,Appliances,Samsung,1.3,Not worth the price.,Negative,191
120,Inverter Frost-Free Refrigerator,Appliances,Haier,2.6,Smooth and easy to use.,Positive,250
121,Dreamhouse Doll Set,Toys,Barbie,3.1,Battery drains quickly.,Negative,457
122,You Can Be Anything Doll,Toys,Barbie,3.8,Sound quality is crystal clear.,Positive,221
123,You Can Be Anything Doll,Toys,Barbie,4.0,Highly recommended!,Positive,63
124,Classic Bricks Set,Toys,Lego,2.9,Not satisfied at all.,Negative,405
125,Classic Bricks Set,Toys,Lego,1.3,Feels cheap and uncomfortable.,Negative,26
126,Dreamhouse Doll Set,Toys,Barbie,2.0,Battery drains quickly.,Negative,127
127,Track Builder System,Toys,Hot Wheels,3.5,Sound quality is crystal clear.,Positive,265
128,You Can Be Anything Doll,Toys,Barbie,4.9,Sound quality is crystal clear.,Positive,218
129,City Mega Garage,Toys,Hot Wheels,2.9,Sound quality is crystal clear.,Positive,287
130,Monopoly Board Game,Toys,Funskool,1.4,Packaging was damaged.,Negative,337
131,Track Builder System,Toys,Hot Wheels,3.1,Battery life is amazing.,Positive,493
132,City Police Station,Toys,Lego,4.1,Fast delivery and nice packaging.,Positive,137
133,Track Builder System,Toys,Hot Wheels,3.1,Worth the money.,Positive,328
134,Track Builder System,Toys,Hot Wheels,3.5,Very comfortable and durable.,Positive,340
135,You Can Be Anything Doll,Toys,Barbie,1.4,Battery drains quickly.,Negative,474
136,City Mega Garage,Toys,Hot Wheels,3.4,Not satisfied at all.,Negative,376
137,City Police Station,Toys,Lego,4.8,Smooth and easy to use.,Positive,14
138,Track Builder System,Toys,Hot Wheels,2.7,Sound quality is crystal clear.,Positive,449
139,City Mega Garage,Toys,Hot Wheels,4.2,Highly recommended!,Positive,453
140,Mattel Classic Shoes,Toys,Mattel,1.3,Stopped working in a few days.,Negative,457
141,The Power of Habit by Charles Duhigg,Books,HarperCollins,4.4,Worth the money.,Positive,459
142,Harry Potter and the Philosopher’s Stone by J.K. Rowling,Books,Bloomsbury,3.9,Battery life is amazing.,Positive,434
143,Harry Potter and the Philosopher’s Stone by J.K. Rowling,Books,Bloomsbury,2.4,Build quality could be better.,Negative,488
144,Ikigai by Hector Garcia,Books,Penguin,3.4,Build quality could be better.,Negative,298
145,The Power of Habit by Charles Duhigg,Books,HarperCollins,4.6,Good value for the price.,Positive,58
146,Atomic Habits by James Clear,Books,Penguin,2.5,Stopped working in a few days.,Negative,309
147,Ikigai by Hector Garcia,Books,Penguin,1.1,Not worth the price.,Negative,171
148,The Power of Habit by Charles Duhigg,Books,HarperCollins,2.2,Not worth the price.,Negative,453
149,The Power of Habit by Charles Duhigg,Books,HarperCollins,2.6,Stopped working in a few days.,Negative,52
150,Goosebumps by R.L. Stine,Books,Scholastic,2.4,Poor quality product.,Negative,67
151,Harry Potter and the Philosopher’s Stone by J.K. Rowling,Books,Bloomsbury,2.0,Stopped working in a few days.,Negative,296
152,The Power of Habit by Charles Duhigg,Books,HarperCollins,2.6,Good value for the price.,Positive,162
153,The Power of Habit by Charles Duhigg,Books,HarperCollins,3.5,Sound quality is crystal clear.,Positive,465
154,Ikigai by Hector Garcia,Books,Penguin,1.3,Sound quality is bad.,Negative,254
155,Atomic Habits by James Clear,Books,Penguin,2.7,Highly recommended!,Positive,79
156,Goosebumps by R.L. Stine,Books,Scholastic,4.9,Excellent performance and design.,Positive,53
157,Atomic Habits by James Clear,Books,Penguin,2.9,Great quality product!,Positive,368
158,The Power of Habit by Charles Duhigg,Books,HarperCollins,2.9,Packaging was damaged.,Negative,50
159,Goosebumps by R.L. Stine,Books,Scholastic,2.4,Disappointed with the performance.,Negative,427
160,Goosebumps by R.L. Stine,Books,Scholastic,1.1,Not worth the price.,Negative,337
161,Arista Study Table,Furniture,Durian,3.0,Not satisfied at all.,Negative,217
162,NxtGen Study Desk,Furniture,Godrej,3.0,Battery life is amazing.,Positive,170
163,Interio Wardrobe,Furniture,Godrej,1.3,Not satisfied at all.,Negative,121
164,Interio Wardrobe,Furniture,Godrej,1.8,Stopped working in a few days.,Negative,319
165,Interio Wardrobe,Furniture,Godrej,1.2,Feels cheap and uncomfortable.,Negative,248
166,Interio Wardrobe,Furniture,Godrej,2.7,Smooth and easy to use.,Positive,396
167,NxtGen Study Desk,Furniture,Godrej,2.6,Very comfortable and durable.,Positive,189
168,Morris Coffee Table,Furniture,Urban Ladder,1.0,Not satisfied at all.,Negative,400
169,POANG Armchair,Furniture,IKEA,2.8,Battery drains quickly.,Negative,148
170,Boston Leather Sofa,Furniture,Durian,1.8,Packaging was damaged.,Negative,440
171,MALM Bed Frame,Furniture,IKEA,3.5,Build quality could be better.,Negative,189
172,POANG Armchair,Furniture,IKEA,2.0,Poor quality product.,Negative,208
173,POANG Armchair,Furniture,IKEA,2.1,Disappointed with the performance.,Negative,160
174,Boston Leather Sofa,Furniture,Durian,4.8,Sound quality is crystal clear.,Positive,8
175,Vesta Office Chair,Furniture,Urban Ladder,1.3,Not worth the price.,Negative,70
176,NxtGen Study Desk,Furniture,Godrej,1.4,Battery drains quickly.,Negative,99
177,Boston Leather Sofa,Furniture,Durian,2.8,Disappointed with the performance.,Negative,169
178,MALM Bed Frame,Furniture,IKEA,4.3,Fast delivery and nice packaging.,Positive,82
179,Arista Study Table,Furniture,Durian,2.5,Disappointed with the performance.,Negative,299
180,Morris Coffee Table,Furniture,Urban Ladder,3.3,Packaging was damaged.,Negative,370
181,Paneer 200g,Grocery,Amul,1.4,Stopped working in a few days.,Negative,250
182,Dant Kanti Toothpaste,Grocery,Patanjali,4.0,Excellent performance and design.,Positive,332
183,Butter 500g,Grocery,Amul,3.0,Not worth the price.,Negative,125
184,Besan 500g,Grocery,Fortune,4.5,Great quality product!,Positive,204
185,Butter 500g,Grocery,Amul,2.3,Battery drains quickly.,Negative,381
186,Butter 500g,Grocery,Amul,5.0,Very comfortable and durable.,Positive,167
187,Butter 500g,Grocery,Amul,3.3,Packaging was damaged.,Negative,380
188,Butter 500g,Grocery,Amul,2.8,Smooth and easy to use.,Positive,473
189,Tea Gold 500g,Grocery,Tata,2.0,Battery drains quickly.,Negative,441
190,Salt Lite 1kg,Grocery,Tata,1.0,Battery drains quickly.,Negative,449
191,Salt Lite 1kg,Grocery,Tata,2.6,Packaging was damaged.,Negative,298
192,Maggi 70g,Grocery,Nestle,3.4,Fast delivery and nice packaging.,Positive,16
193,Butter 500g,Grocery,Amul,4.5,Battery life is amazing.,Positive,459
194,Dant Kanti Toothpaste,Grocery,Patanjali,1.9,Feels cheap and uncomfortable.,Negative,491
195,Tea Gold 500g,Grocery,Tata,2.5,Feels cheap and uncomfortable.,Negative,301
196,Cow Ghee 1L,Grocery,Patanjali,2.1,Stopped working in a few days.,Negative,226
197,Dant Kanti Toothpaste,Grocery,Patanjali,3.7,Great quality product!,Positive,227
198,Butter 500g,Grocery,Amul,2.3,Disappointed with the performance.,Negative,486
199,Besan 500g,Grocery,Fortune,1.4,Build quality could be better.,Negative,407
200,Cow Ghee 1L,Grocery,Patanjali,2.3,Sound quality is bad.,Negative,199
